[0.13501016 0.12577773 0.12031404]
[0.20577961 0.14728955 0.09800458]
         3511931 function calls (3446126 primitive calls) in 8.431 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      633    0.005    0.000    0.063    0.000 _docscrape.py:366(_parse_summary)
        1    0.000    0.000    0.063    0.063 _linprog_ip.py:1(<module>)
      202    0.061    0.000    0.062    0.000 {built-in method _imp.create_dynamic}
        3    0.000    0.000    0.062    0.021 _basic.py:1(<module>)
        1    0.000    0.000    0.062    0.062 collections.py:1(<module>)
        1    0.000    0.000    0.061    0.061 _linprog_util.py:1(<module>)
        1    0.000    0.000    0.061    0.061 _remove_redundancy.py:1(<module>)
      227    0.018    0.000    0.060    0.000 artist.py:1511(get_setters)
        1    0.000    0.000    0.060    0.060 interpolative.py:1(<module>)
      131    0.002    0.000    0.060    0.000 _distn_infrastructure.py:833(_construct_doc)
    11485    0.060    0.000    0.060    0.000 {method 'sub' of 're.Pattern' objects}
        1    0.000    0.000    0.060    0.060 f2py2e.py:1(<module>)
     1349    0.005    0.000    0.059    0.000 <frozen importlib._bootstrap_external>:1183(get_data)
      624    0.006    0.000    0.058    0.000 _docscrape.py:599(__str__)
        2    0.000    0.000    0.056    0.028 _backend_tk.py:507(__init__)
        2    0.000    0.000    0.056    0.028 backend_bases.py:2611(__init__)
     5936    0.005    0.000    0.056    0.000 __init__.py:174(search)
        2    0.000    0.000    0.055    0.028 _backend_tk.py:650(__init__)
     6674    0.055    0.000    0.055    0.000 {method 'findall' of 're.Pattern' objects}
11955/11033    0.018    0.000    0.054    0.000 {built-in method __new__ of type object at 0xa43b40}
        3    0.001    0.000    0.053    0.018 core.py:1(<module>)
       31    0.005    0.000    0.051    0.002 __init__.py:887(_rc_params_in_file)
        9    0.000    0.000    0.051    0.006 _base.py:783(__init_subclass__)
        1    0.000    0.000    0.051    0.051 ssl.py:1(<module>)
      628    0.008    0.000    0.050    0.000 _docscrape.py:548(__str__)
   228358    0.050    0.000    0.050    0.000 {method 'startswith' of 'str' objects}
     2904    0.015    0.000    0.050    0.000 <frozen importlib._bootstrap>:304(acquire)
        1    0.000    0.000    0.049    0.049 capi_maps.py:1(<module>)
      367    0.001    0.000    0.047    0.000 _compiler.py:573(_code)
       14    0.000    0.000    0.047    0.003 _backend_tk.py:855(_Button)
        2    0.000    0.000    0.047    0.023 _pca.py:481(_fit)
     1674    0.002    0.000    0.046    0.000 <frozen importlib._bootstrap>:416(__enter__)
        1    0.000    0.000    0.046    0.046 _rotation.py:1(<module>)
