[0.13501016 0.12577773 0.12031404]
[0.20577961 0.14728955 0.09800458]
         3511931 function calls (3446126 primitive calls) in 8.431 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 _ndbspline.py:28(NdBSpline)
        1    0.000    0.000    0.000    0.000 _util.py:617(MapWrapper)
       14    0.000    0.000    0.000    0.000 _array_api.py:230(_is_numpy_namespace)
       17    0.000    0.000    0.000    0.000 typing.py:966(_is_typevar_like)
      134    0.000    0.000    0.000    0.000 six.py:93(__init__)
        1    0.000    0.000    0.000    0.000 argparse.py:1188(_SubParsersAction)
       16    0.000    0.000    0.000    0.000 transforms.py:1927(get_matrix)
        1    0.000    0.000    0.000    0.000 axis.py:2369(XAxis)
        1    0.000    0.000    0.000    0.000 _utils.py:59(decorator)
        2    0.000    0.000    0.000    0.000 common.py:1156(is_numeric_v_string_like)
        1    0.000    0.000    0.000    0.000 base_parser.py:272(_make_index)
        1    0.000    0.000    0.000    0.000 _store_backends.py:403(FileSystemStoreBackend)
        1    0.000    0.000    0.000    0.000 _json.py:856(JsonReader)
        1    0.000    0.000    0.000    0.000 fileinput.py:171(FileInput)
        1    0.000    0.000    0.000    0.000 _ridge.py:1028(Ridge)
        1    0.000    0.000    0.000    0.000 _print_versions.py:1(<module>)
        4    0.000    0.000    0.000    0.000 base.py:155(__ne__)
        1    0.000    0.000    0.000    0.000 _data.py:2278(Binarizer)
       16    0.000    0.000    0.000    0.000 _arraypad_impl.py:59(_view_roi)
        1    0.000    0.000    0.000    0.000 python_parser.py:96(PythonParser)
        1    0.000    0.000    0.000    0.000 widgets.py:2456(SpanSelector)
       24    0.000    0.000    0.000    0.000 axis.py:757(get_scale)
        1    0.000    0.000    0.000    0.000 _ode.py:100(ode)
        1    0.000    0.000    0.000    0.000 _linprog_simplex.py:1(<module>)
        3    0.000    0.000    0.000    0.000 common.py:180(_expand_user)
        1    0.000    0.000    0.000    0.000 csv.py:83(DictReader)
        1    0.000    0.000    0.000    0.000 _distn_infrastructure.py:1668(rv_continuous)
        3    0.000    0.000    0.000    0.000 _new_distributions.py:466(_pmf_formula)
        8    0.000    0.000    0.000    0.000 backend_tools.py:52(_register_tool_class)
       46    0.000    0.000    0.000    0.000 typing.py:1971(<genexpr>)
        1    0.000    0.000    0.000    0.000 widgets.py:3133(RectangleSelector)
        1    0.000    0.000    0.000    0.000 core.py:5451(__init__)
        1    0.000    0.000    0.000    0.000 _delegators.py:1(<module>)
        1    0.000    0.000    0.000    0.000 object_array.py:35(ObjectStringArrayMixin)
        6    0.000    0.000    0.000    0.000 rcsetup.py:185(_make_type_validator)
        6    0.000    0.000    0.000    0.000 _distribution_infrastructure.py:825(matches)
       34    0.000    0.000    0.000    0.000 invalid.py:59(make_invalid_op)
       12    0.000    0.000    0.000    0.000 frame.py:1016(axes)
        1    0.000    0.000    0.000    0.000 hermite_e.py:1597(HermiteE)
        8    0.000    0.000    0.000    0.000 config.py:703(_translate_key)
        1    0.000    0.000    0.000    0.000 tz.py:482(_set_tzdata)
       16    0.000    0.000    0.000    0.000 common.py:161(cast_scalar_indexer)
        1    0.000    0.000    0.000    0.000 _data.py:303(MinMaxScaler)
        4    0.000    0.000    0.000    0.000 {built-in method _thread.get_native_id}
        1    0.000    0.000    0.000    0.000 tasks.py:83(Task)
       23    0.000    0.000    0.000    0.000 _ufunc_config.py:462(__init__)
        1    0.000    0.000    0.000    0.000 coroutines.py:1(<module>)
        1    0.000    0.000    0.000    0.000 laguerre.py:1630(Laguerre)
        1    0.000    0.000    0.000    0.000 _pylab_helpers.py:9(Gcf)
       24    0.000    0.000    0.000    0.000 {built-in method math.radians}
       42    0.000    0.000    0.000    0.000 dataclasses.py:372(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:958(createLock)
        1    0.000    0.000    0.000    0.000 _cubature.py:30(CubatureRegion)
       21    0.000    0.000    0.000    0.000 typing.py:487(__repr__)
        1    0.000    0.000    0.000    0.000 _survival.py:18(EmpiricalDistributionFunction)
        5    0.000    0.000    0.000    0.000 case.py:388(__init_subclass__)
        1    0.000    0.000    0.000    0.000 figure.py:2214(SubFigure)
        4    0.000    0.000    0.000    0.000 _distribution_infrastructure.py:2470(_pdf_dispatch)
        1    0.000    0.000    0.000    0.000 _interface.py:56(LinearOperator)
        4    0.000    0.000    0.000    0.000 _distribution_infrastructure.py:2340(_median_dispatch)
        4    0.000    0.000    0.000    0.000 base.py:3839(_check_indexing_method)
        4    0.000    0.000    0.000    0.000 managers.py:1944(_consolidate_check)
       30    0.000    0.000    0.000    0.000 core.py:795(<genexpr>)
       32    0.000    0.000    0.000    0.000 {method 'isblock' of 'ImagingCore' objects}
        1    0.000    0.000    0.000    0.000 __init__.py:2016(Wm)
        2    0.000    0.000    0.000    0.000 transforms.py:233(frozen)
        1    0.000    0.000    0.000    0.000 _odswriter.py:33(ODSWriter)
        6    0.000    0.000    0.000    0.000 validation.py:662(_ensure_no_complex_data)
       51    0.000    0.000    0.000    0.000 {method 'bit_length' of 'int' objects}
        9    0.000    0.000    0.000    0.000 __init__.py:183(__new__)
       31    0.000    0.000    0.000    0.000 {method 'rsplit' of 'str' objects}
       32    0.000    0.000    0.000    0.000 _arraypad_impl.py:121(<genexpr>)
        1    0.000    0.000    0.000    0.000 threadpoolctl.py:163(OpenBLASController)
        1    0.000    0.000    0.000    0.000 string_.py:608(StringArray)
       16    0.000    0.000    0.000    0.000 doccer.py:82(inherit_docstring_from)
        1    0.000    0.000    0.000    0.000 putmask.py:1(<module>)
        7    0.000    0.000    0.000    0.000 <frozen _collections_abc>:407(__subclasshook__)
        1    0.000    0.000    0.000    0.000 _array_utils_impl.py:1(<module>)
        2    0.000    0.000    0.000    0.000 colors.py:2345(scaled)
        1    0.000    0.000    0.000    0.000 masked_reductions.py:1(<module>)
       85    0.000    0.000    0.000    0.000 _compat_pickle.py:167(<genexpr>)
        1    0.000    0.000    0.000    0.000 glm.py:738(TweedieRegressor)
        2    0.000    0.000    0.000    0.000 _aliases.py:665(finfo)
        1    0.000    0.000    0.000    0.000 datetimelike.py:551(DatetimeTimedeltaMixin)
        1    0.000    0.000    0.000    0.000 tempfile.py:824(SpooledTemporaryFile)
        1    0.000    0.000    0.000    0.000 _arrow_string_mixins.py:31(ArrowStringArrayMixin)
       35    0.000    0.000    0.000    0.000 blocks.py:957(shape)
        1    0.000    0.000    0.000    0.000 spss.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _ranges.py:1(<module>)
        1    0.000    0.000    0.000    0.000 axes3d.py:4044(_Quaternion)
        1    0.000    0.000    0.000    0.000 _elementwise_iterative_method.py:1(<module>)
        6    0.000    0.000    0.000    0.000 axes3d.py:1841(grid)
        4    0.000    0.000    0.000    0.000 transforms.py:1356(_iter_break_from_left_to_right)
        3    0.000    0.000    0.000    0.000 legend_handler.py:433(__init__)
        3    0.000    0.000    0.000    0.000 {built-in method posix.putenv}
        7    0.000    0.000    0.000    0.000 tokenize.py:376(read_or_stop)
        1    0.000    0.000    0.000    0.000 base.py:45(ExtensionDtype)
        1    0.000    0.000    0.000    0.000 align.py:71(_filter_special_cases)
        1    0.000    0.000    0.000    0.000 socket.py:215(socket)
        1    0.000    0.000    0.000    0.000 _data.py:1173(MaxAbsScaler)
        1    0.000    0.000    0.000    0.000 case.py:394(__init__)
       28    0.000    0.000    0.000    0.000 arrayprint.py:1070(<genexpr>)
        1    0.000    0.000    0.000    0.000 cast.py:1268(np_find_common_type)
        1    0.000    0.000    0.000    0.000 _ridge.py:2604(RidgeCV)
       74    0.000    0.000    0.000    0.000 inspect.py:2857(__init__)
        1    0.000    0.000    0.000    0.000 stata.py:1021(StataReader)
        1    0.000    0.000    0.000    0.000 _classification_threshold.py:207(FixedThresholdClassifier)
        1    0.000    0.000    0.000    0.000 numbers.py:172(Real)
        1    0.000    0.000    0.000    0.000 _distribution_infrastructure.py:192(_Domain)
       18    0.000    0.000    0.000    0.000 {method 'islower' of 'bytes' objects}
        1    0.000    0.000    0.000    0.000 dtypes.py:1700(SparseDtype)
        8    0.000    0.000    0.000    0.000 collections.py:487(set_urls)
       72    0.000    0.000    0.000    0.000 _distribution_infrastructure.py:1876(validation_policy)
        1    0.000    0.000    0.000    0.000 ImageChops.py:1(<module>)
        4    0.000    0.000    0.000    0.000 base.py:6829(_maybe_cast_listlike_indexer)
        6    0.000    0.000    0.000    0.000 inspect.py:1458(repl)
       21    0.000    0.000    0.000    0.000 enum.py:1692(_simple_enum)
        1    0.000    0.000    0.000    0.000 _arff.py:323(ArffException)
        4    0.000    0.000    0.000    0.000 cbook.py:126(__eq__)
        1    0.000    0.000    0.000    0.000 uuid.py:85(UUID)
        1    0.000    0.000    0.000    0.000 link.py:89(BaseLink)
       32    0.000    0.000    0.000    0.000 _arraypad_impl.py:110(<genexpr>)
        5    0.000    0.000    0.000    0.000 {built-in method posix.register_at_fork}
        1    0.000    0.000    0.000    0.000 _interpolate.py:176(interp1d)
        1    0.000    0.000    0.000    0.000 _finite_differences.py:1(<module>)
       10    0.000    0.000    0.000    0.000 base.py:986(dtype)
       44    0.000    0.000    0.000    0.000 flags.py:67(allows_duplicate_labels)
        1    0.000    0.000    0.000    0.000 _multivariate.py:6100(random_table_gen)
        1    0.000    0.000    0.000    0.000 indexing.py:753(_LocationIndexer)
        1    0.000    0.000    0.000    0.000 distance.py:1635(MetricInfo)
        1    0.000    0.000    0.000    0.000 _new_distributions.py:119(_sample_formula)
        1    0.000    0.000    0.000    0.000 {built-in method time.gmtime}
        1    0.000    0.000    0.000    0.000 hb.py:354(HBMatrixType)
        1    0.000    0.000    0.000    0.000 _helpers.py:332(is_cupy_namespace)
        1    0.000    0.000    0.000    0.000 subprocess.py:163(TimeoutExpired)
        1    0.000    0.000    0.000    0.000 rolling.py:116(BaseWindow)
        1    0.000    0.000    0.000    0.000 font_manager.py:537(_cleanup_fontproperties_init)
       16    0.000    0.000    0.000    0.000 _available_if.py:57(available_if)
        1    0.000    0.000    0.000    0.000 ops.py:76(Term)
       30    0.000    0.000    0.000    0.000 {built-in method math.isfinite}
        4    0.000    0.000    0.000    0.000 _linalg.py:238(_assert_stacked_square)
        3    0.000    0.000    0.000    0.000 core.py:5632(_generateDefaultName)
        1    0.000    0.000    0.000    0.000 colors.py:680(Colormap)
        8    0.000    0.000    0.000    0.000 config.py:650(_select_options)
        6    0.000    0.000    0.000    0.000 _nbit_base.py:57(__init_subclass__)
        3    0.000    0.000    0.000    0.000 api.py:284(_sanitize_and_check)
        1    0.000    0.000    0.000    0.000 axis3d.py:729(XAxis)
       20    0.000    0.000    0.000    0.000 inspect.py:3082(<genexpr>)
        5    0.000    0.000    0.000    0.000 <frozen _collections_abc>:523(_type_repr)
        3    0.000    0.000    0.000    0.000 base.py:8032(<genexpr>)
        1    0.000    0.000    0.000    0.000 qp_subproblem.py:1(<module>)
        4    0.000    0.000    0.000    0.000 {method 'union' of 'set' objects}
        1    0.000    0.000    0.000    0.000 _trustregion_exact.py:190(IterativeSubproblem)
        4    0.000    0.000    0.000    0.000 scale.py:132(get_transform)
       15    0.000    0.000    0.000    0.000 _helpers.py:683(_check_device)
       29    0.000    0.000    0.000    0.000 {method 'isdisjoint' of 'set' objects}
        1    0.000    0.000    0.000    0.000 _csr.py:18(_csr_base)
        6    0.000    0.000    0.000    0.000 axis3d.py:58(_new_init)
       25    0.000    0.000    0.000    0.000 ipaddress.py:431(_ip_int_from_prefix)
       46    0.000    0.000    0.000    0.000 {method 'issuperset' of 'frozenset' objects}
        1    0.000    0.000    0.000    0.000 {built-in method _hashlib.openssl_sha3_224}
        2    0.000    0.000    0.000    0.000 _typing.py:36(JustInt)
        6    0.000    0.000    0.000    0.000 _linalg.py:183(_realType)
        1    0.000    0.000    0.000    0.000 _matrix.py:1(spmatrix)
       43    0.000    0.000    0.000    0.000 _compat_pickle.py:165(<genexpr>)
       10    0.000    0.000    0.000    0.000 version.py:100(__lt__)
        1    0.000    0.000    0.000    0.000 _data.py:1535(RobustScaler)
        1    0.000    0.000    0.000    0.000 __init__.py:3110(Entry)
       13    0.000    0.000    0.000    0.000 _internal.py:946(npy_ctypes_check)
        1    0.000    0.000    0.000    0.000 base.py:29(OdeSolver)
        1    0.000    0.000    0.000    0.000 discovery.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:1282(ZipFile)
        1    0.000    0.000    0.000    0.000 _nbit.py:1(<module>)
        1    0.000    0.000    0.000    0.000 font.py:26(Font)
        4    0.000    0.000    0.000    0.000 locale.py:381(normalize)
        6    0.000    0.000    0.000    0.000 collections.py:1678(_get_default_linewidth)
       14    0.000    0.000    0.000    0.000 managers.py:2006(__init__)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:11382(wrapcauchy_gen)
        1    0.000    0.000    0.000    0.000 rcsetup.py:142(_validate_date)
        1    0.000    0.000    0.000    0.000 __init__.py:4449(PanedWindow)
       70    0.000    0.000    0.000    0.000 _distribution_infrastructure.py:1855(cache_policy)
        1    0.000    0.000    0.000    0.000 transforms.py:1081(TransformedBbox)
       13    0.000    0.000    0.000    0.000 enum.py:117(_iter_bits_lsb)
        9    0.000    0.000    0.000    0.000 concat.py:44(_is_nonempty)
       38    0.000    0.000    0.000    0.000 artist.py:1362(get_mouseover)
        1    0.000    0.000    0.000    0.000 {built-in method time.localtime}
        1    0.000    0.000    0.000    0.000 pytables.py:2800(Fixed)
        1    0.000    0.000    0.000    0.000 difflib.py:44(SequenceMatcher)
        5    0.000    0.000    0.000    0.000 weakref.py:495(popitem)
        2    0.000    0.000    0.000    0.000 ast.py:74(_convert_num)
        1    0.000    0.000    0.000    0.000 _base.py:955(ExcelWriter)
        1    0.000    0.000    0.000    0.000 _base.py:325(Future)
        1    0.000    0.000    0.000    0.000 client.py:257(HTTPResponse)
        1    0.000    0.000    0.000    0.000 canonical_constraint.py:5(CanonicalConstraint)
        1    0.000    0.000    0.000    0.000 _shape.py:1(<module>)
       12    0.000    0.000    0.000    0.000 legend_handler.py:62(__init__)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:4995(invgauss_gen)
      114    0.000    0.000    0.000    0.000 multiarray.py:600(can_cast)
        1    0.000    0.000    0.000    0.000 _distribution_infrastructure.py:3644(_pdf_formula)
        1    0.000    0.000    0.000    0.000 collections.py:964(_CollectionWithSizes)
        1    0.000    0.000    0.000    0.000 __init__.py:1117(StreamHandler)
        1    0.000    0.000    0.000    0.000 ipaddress.py:383(_IPAddressBase)
       36    0.000    0.000    0.000    0.000 _base.py:891(<genexpr>)
        1    0.000    0.000    0.000    0.000 _data.py:20(_data_matrix)
        1    0.000    0.000    0.000    0.000 extbuild.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _array_api.py:667(_XPSphinxCapability)
        1    0.000    0.000    0.000    0.000 sysconfig.py:497(_get_sysconfigdata_name)
       18    0.000    0.000    0.000    0.000 {method 'cleanup' of 'ImagingDecoder' objects}
        8    0.000    0.000    0.000    0.000 core.py:6862(is_masked)
       25    0.000    0.000    0.000    0.000 helpers.py:285(<genexpr>)
       42    0.000    0.000    0.000    0.000 axis.py:500(locator)
        1    0.000    0.000    0.000    0.000 add_newdocs.py:1(<module>)
        1    0.000    0.000    0.000    0.000 colors.py:2119(Normalize)
        2    0.000    0.000    0.000    0.000 font.py:50(_set)
        1    0.000    0.000    0.000    0.000 __init__.py:3356(Menu)
        2    0.000    0.000    0.000    0.000 missing.py:131(dispatch_fill_zeros)
        1    0.000    0.000    0.000    0.000 lsmr.py:1(<module>)
        1    0.000    0.000    0.000    0.000 dataframe_protocol.py:367(DataFrame)
        9    0.000    0.000    0.000    0.000 base.py:797(is_)
        1    0.000    0.000    0.000    0.000 _distn_infrastructure.py:3172(rv_discrete)
       28    0.000    0.000    0.000    0.000 cbook.py:120(__init__)
        1    0.000    0.000    0.000    0.000 _new_distributions.py:225(_pdf_formula)
        1    0.000    0.000    0.000    0.000 gridspec.py:26(GridSpecBase)
        1    0.000    0.000    0.000    0.000 _ridge.py:1732(_RidgeGCV)
        4    0.000    0.000    0.000    0.000 _distribution_infrastructure.py:2358(_mode_dispatch)
        4    0.000    0.000    0.000    0.000 _weakrefset.py:37(__init__)
        1    0.000    0.000    0.000    0.000 shlex.py:19(shlex)
        2    0.000    0.000    0.000    0.000 _parser.py:1012(addgroup)
       23    0.000    0.000    0.000    0.000 overrides.py:180(array_function_from_dispatcher)
        1    0.000    0.000    0.000    0.000 grouper.py:412(Grouping)
       34    0.000    0.000    0.000    0.000 {method 'groupdict' of 're.Match' objects}
        1    0.000    0.000    0.000    0.000 _backend_tk.py:649(NavigationToolbar2Tk)
        1    0.000    0.000    0.000    0.000 pytables.py:5483(Selection)
       33    0.000    0.000    0.000    0.000 core.py:5143(recurse)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:8879(powerlognorm_gen)
        2    0.000    0.000    0.000    0.000 _distribution_infrastructure.py:3130(_one)
       10    0.000    0.000    0.000    0.000 _text.py:90(lower)
        1    0.000    0.000    0.000    0.000 queues.py:21(Queue)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:12388(rel_breitwigner_gen)
        6    0.000    0.000    0.000    0.000 validation.py:720(_is_extension_array_dtype)
        1    0.000    0.000    0.000    0.000 decomp.py:1(<module>)
        2    0.000    0.000    0.000    0.000 artist.py:1032(_set_alpha_for_array)
        1    0.000    0.000    0.000    0.000 boolean.py:263(BooleanArray)
        5    0.000    0.000    0.000    0.000 _parser.py:1004(addliteral)
        1    0.000    0.000    0.000    0.000 pathlib.py:1061(_scandir)
       60    0.000    0.000    0.000    0.000 version.py:424(_parse_letter_version)
        1    0.000    0.000    0.000    0.000 _polyint.py:20(_Interpolator1D)
        6    0.000    0.000    0.000    0.000 validation.py:672(_check_estimator_name)
        1    0.000    0.000    0.000    0.000 qmc.py:1(<module>)
        1    0.000    0.000    0.000    0.000 axis.py:2593(YAxis)
        1    0.000    0.000    0.000    0.000 _multivariate.py:292(multi_rv_frozen)
        6    0.000    0.000    0.000    0.000 six.py:131(__init__)
        6    0.000    0.000    0.000    0.000 _base.py:2560(_unit_change_handler)
       62    0.000    0.000    0.000    0.000 concat.py:302(__init__)
       52    0.000    0.000    0.000    0.000 fromnumeric.py:3478(_ndim_dispatcher)
        1    0.000    0.000    0.000    0.000 category.py:26(StrCategoryConverter)
        2    0.000    0.000    0.000    0.000 expr.py:132(_compose)
        1    0.000    0.000    0.000    0.000 loss.py:551(__init__)
        2    0.000    0.000    0.000    0.000 {built-in method PIL._imagingtk.tkinit}
        1    0.000    0.000    0.000    0.000 process.py:281(_ExecutorManagerThread)
        7    0.000    0.000    0.000    0.000 rrule.py:70(__init__)
        2    0.000    0.000    0.000    0.000 _pylab_helpers.py:33(get_fig_manager)
        1    0.000    0.000    0.000    0.000 lsqr.py:1(<module>)
        2    0.000    0.000    0.000    0.000 backend_bases.py:903(set_joinstyle)
       48    0.000    0.000    0.000    0.000 _parser.py:166(__delitem__)
        1    0.000    0.000    0.000    0.000 ImagePalette.py:31(ImagePalette)
        1    0.000    0.000    0.000    0.000 pytables.py:2133(IndexCol)
        6    0.000    0.000    0.000    0.000 copyreg.py:12(pickle)
       17    0.000    0.000    0.000    0.000 results.py:315(__iter__)
        1    0.000    0.000    0.000    0.000 replace.py:1(<module>)
       28    0.000    0.000    0.000    0.000 _decorators.py:273(deprecate_nonkeyword_arguments)
        1    0.000    0.000    0.000    0.000 _funm_multiply_krylov.py:1(<module>)
        6    0.000    0.000    0.000    0.000 collections.py:1684(_get_default_edgecolor)
        1    0.000    0.000    0.000    0.000 string_.py:101(StringDtype)
        1    0.000    0.000    0.000    0.000 backend_agg.py:57(RendererAgg)
        2    0.000    0.000    0.000    0.000 __init__.py:2110(wm_frame)
       10    0.000    0.000    0.000    0.000 core.py:4170(parseImpl)
        1    0.000    0.000    0.000    0.000 {built-in method time.asctime}
        6    0.000    0.000    0.000    0.000 _distribution_infrastructure.py:287(define_parameters)
       18    0.000    0.000    0.000    0.000 _data.py:142(_create_method)
       24    0.000    0.000    0.000    0.000 axis.py:673(isDefault_majloc)
       36    0.000    0.000    0.000    0.000 string_.py:150(na_value)
        3    0.000    0.000    0.000    0.000 enum.py:1526(__repr__)
        1    0.000    0.000    0.000    0.000 tz.py:381(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:892(_addHandlerRef)
        2    0.000    0.000    0.000    0.000 _pylab_helpers.py:94(get_num_fig_managers)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:11803(argus_gen)
        1    0.000    0.000    0.000    0.000 sslproto.py:263(SSLProtocol)
       18    0.000    0.000    0.000    0.000 path.py:211(vertices)
        2    0.000    0.000    0.000    0.000 config.py:596(deprecate_option)
        1    0.000    0.000    0.000    0.000 base_parser.py:260(_maybe_make_multi_index_columns)
        8    0.000    0.000    0.000    0.000 _function_base_impl.py:2030(<genexpr>)
        1    0.000    0.000    0.000    0.000 _bsr.py:24(_bsr_base)
        1    0.000    0.000    0.000    0.000 core.py:4149(__init__)
       17    0.000    0.000    0.000    0.000 managers.py:239(blklocs)
       19    0.000    0.000    0.000    0.000 datetimes.py:138(_field_accessor)
       74    0.000    0.000    0.000    0.000 util.py:285(<lambda>)
        1    0.000    0.000    0.000    0.000 memory.py:356(MemorizedFunc)
        5    0.000    0.000    0.000    0.000 function.py:65(__call__)
        1    0.000    0.000    0.000    0.000 _rbfinterp.py:62(RBFInterpolator)
        1    0.000    0.000    0.000    0.000 contour.py:551(ContourSet)
        2    0.000    0.000    0.000    0.000 base.py:2583(_na_value)
        1    0.000    0.000    0.000    0.000 common.py:284(is_fsspec_url)
        1    0.000    0.000    0.000    0.000 pickle_compat.py:66(Unpickler)
        1    0.000    0.000    0.000    0.000 _core.py:772(PlotAccessor)
        2    0.000    0.000    0.000    0.000 backend_bases.py:945(get_hatch_path)
        2    0.000    0.000    0.000    0.000 _helpers.py:313(_compat_module_name)
        2    0.000    0.000    0.000    0.000 backend_bases.py:811(set_alpha)
        1    0.000    0.000    0.000    0.000 col.py:80(Expression)
       42    0.000    0.000    0.000    0.000 core.py:4844(<genexpr>)
        1    0.000    0.000    0.000    0.000 _resampling.py:2240(PermutationMethod)
        1    0.000    0.000    0.000    0.000 _kde.py:36(gaussian_kde)
        1    0.000    0.000    0.000    0.000 info.py:196(_BaseInfo)
       18    0.000    0.000    0.000    0.000 ImageFile.py:97(_tilesort)
        1    0.000    0.000    0.000    0.000 colors.py:1514(BivarColormap)
        2    0.000    0.000    0.000    0.000 range.py:371(step)
        7    0.000    0.000    0.000    0.000 fractions.py:533(_operator_fallbacks)
        3    0.000    0.000    0.000    0.000 generic.py:6179(<genexpr>)
       11    0.000    0.000    0.000    0.000 _pytesttester.py:75(__init__)
       35    0.000    0.000    0.000    0.000 base.py:5101(_values)
        1    0.000    0.000    0.000    0.000 {built-in method _hashlib.openssl_md5}
        1    0.000    0.000    0.000    0.000 sample.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:450(validate)
        1    0.000    0.000    0.000    0.000 base.py:266(_maybe_return_indexers)
        1    0.000    0.000    0.000    0.000 dviread.py:1023(_LuatexKpsewhich)
        1    0.000    0.000    0.000    0.000 threadpoolctl.py:72(LibController)
        1    0.000    0.000    0.000    0.000 simpledialog.py:337(_QueryInteger)
        1    0.000    0.000    0.000    0.000 legend_handler.py:633(__init__)
        1    0.000    0.000    0.000    0.000 ipaddress.py:1487(IPv4Network)
        3    0.000    0.000    0.000    0.000 rcsetup.py:591(_validate_greaterequal0_lessequal1)
        1    0.000    0.000    0.000    0.000 _internal.py:228(_getintp_ctype)
        3    0.000    0.000    0.000    0.000 {built-in method posix.readlink}
        2    0.000    0.000    0.000    0.000 spines.py:555(from_dict)
        1    0.000    0.000    0.000    0.000 _bracket.py:1(<module>)
        1    0.000    0.000    0.000    0.000 category.py:49(CategoricalIndex)
        1    0.000    0.000    0.000    0.000 disk.py:1(<module>)
        4    0.000    0.000    0.000    0.000 typing.py:2285(_strip_annotations)
       12    0.000    0.000    0.000    0.000 doccer.py:139(extend_notes_in_docstring)
        2    0.000    0.000    0.000    0.000 _data.py:437(_reset)
        1    0.000    0.000    0.000    0.000 dataframe_protocol.py:176(Column)
        1    0.000    0.000    0.000    0.000 {built-in method posix.cpu_count}
        4    0.000    0.000    0.000    0.000 collections.py:761(_get_default_facecolor)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1353(_recalculate)
       38    0.000    0.000    0.000    0.000 dataclasses.py:1286(<genexpr>)
       42    0.000    0.000    0.000    0.000 axis.py:511(formatter)
        2    0.000    0.000    0.000    0.000 core.py:4007(_generateDefaultName)
        1    0.000    0.000    0.000    0.000 random.py:110(Random)
        1    0.000    0.000    0.000    0.000 collections.py:2198(_MeshData)
        1    0.000    0.000    0.000    0.000 widgets.py:1541(RadioButtons)
        1    0.000    0.000    0.000    0.000 _pep440.py:165(LegacyVersion)
        1    0.000    0.000    0.000    0.000 collections.py:1578(LineCollection)
        1    0.000    0.000    0.000    0.000 _new_distributions.py:57(_pdf_formula)
        1    0.000    0.000    0.000    0.000 error.py:35(HTTPError)
        1    0.000    0.000    0.000    0.000 integer.py:25(IntegerDtype)
       42    0.000    0.000    0.000    0.000 markers.py:449(_set_nothing)
        1    0.000    0.000    0.000    0.000 platform.py:842(uname_result)
       14    0.000    0.000    0.000    0.000 _dtype.py:23(_kind_name)
        8    0.000    0.000    0.000    0.000 artist.py:945(get_rasterized)
        7    0.000    0.000    0.000    0.000 _distribution_infrastructure.py:1888(validation_policy)
        1    0.000    0.000    0.000    0.000 _nonlin.py:626(LowRankMatrix)
       28    0.000    0.000    0.000    0.000 _decorators.py:265(future_version_msg)
        1    0.000    0.000    0.000    0.000 abc.py:16(ResourceReader)
        1    0.000    0.000    0.000    0.000 floating.py:25(FloatingDtype)
        2    0.000    0.000    0.000    0.000 _base.py:2296(has_data)
        1    0.000    0.000    0.000    0.000 pydoc.py:1225(TextDoc)
       38    0.000    0.000    0.000    0.000 artist.py:427(is_transform_set)
        6    0.000    0.000    0.000    0.000 construction.py:710(_sanitize_non_ordered)
        1    0.000    0.000    0.000    0.000 _resampling.py:2326(BootstrapMethod)
        1    0.000    0.000    0.000    0.000 ssl.py:394(_ASN1Object)
        6    0.000    0.000    0.000    0.000 collections.py:1681(_get_default_antialiased)
        1    0.000    0.000    0.000    0.000 __init__.py:442(LibraryLoader)
        1    0.000    0.000    0.000    0.000 colorizer.py:325(_ColorizerInterface)
        1    0.000    0.000    0.000    0.000 colors.py:98(ColorSequenceRegistry)
       18    0.000    0.000    0.000    0.000 ImageFile.py:370(<lambda>)
       12    0.000    0.000    0.000    0.000 colors.py:237(_has_alpha_channel)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:1837(dpareto_lognorm_gen)
        1    0.000    0.000    0.000    0.000 _ccallback.py:26(LowLevelCallable)
       56    0.000    0.000    0.000    0.000 accessors.py:154(<lambda>)
        2    0.000    0.000    0.000    0.000 _functools.py:6(method_cache)
        4    0.000    0.000    0.000    0.000 rcsetup.py:246(validate_fonttype)
        1    0.000    0.000    0.000    0.000 process.py:399(__init__)
        4    0.000    0.000    0.000    0.000 numerictypes.py:239(obj2sctype)
        1    0.000    0.000    0.000    0.000 _cobyla_py.py:1(<module>)
        2    0.000    0.000    0.000    0.000 cbook.py:2065(__init__)
        1    0.000    0.000    0.000    0.000 six.py:236(create_module)
        1    0.000    0.000    0.000    0.000 blocks.py:1609(EABackedBlock)
        1    0.000    0.000    0.000    0.000 _new_distributions.py:271(_sample_formula)
       33    0.000    0.000    0.000    0.000 {built-in method _stat.S_ISLNK}
